Rank,Title,Username,Rating,Score,Performance,Team
350,,Messico1,1042,18,1360,
351,,ApolyonKhan,1237,18,1352,
352,,EmmJe,1095,18,1351,
353,,jarith2210,1368,18,1343,
354,,Os1cool7,1209,18,1303,
355,,Nule7,1358,18,1279,
356,,HikenNoJJ,1270,18,1257,
357,,Angel-rufus,1299,18,1250,
358,,zNew,1141,18,1248,
359,,JosueLemus,1148,18,1230,
360,,luchochesss,1166,18,1154,
361,,jlbosch,1710,17,1665,
362,,luisd_morales,1598,17,1592,
363,,AdidCSS,1556,17,1536,
364,,Spoorum,1506,17,1515,
365,,FNR96,1444,17,1353,
366,,rayzersch99,1157,17,1276,
367,,Emmanuel_Villanueva,1201,17,1259,
368,,Mickaell1,1197,17,1208,
369,,CowBoy_Bishop,795,17,1186,
370,,Walmart21ksk_72,2008,16,2195,
371,,PlayMiguel,1843,16,2110,
372,,oct6,1852,16,1974,
373,,juegosIbon,2077,16,1844,
374,,JeisonGarcesC,1987,16,1781,
375,,EntrenoFuerte,1712,16,1775,
376,,Diegomagical,1626,16,1746,
377,,Davincii11,1757,16,1671,
378,,ks6,2094,16,1660,
379,,AnubisPawn,1500,16,1638,
380,,czerjyo,2047,16,1606,
381,,fereder,1485,16,1574,
382,,Tonilg10,1563,16,1565,
383,,Arturo_Go,1514,16,1545,
384,,Archivall,1511,16,1533,
385,,Michael77w7,1511,16,1528,
386,,goorgo11,1103,16,1474,
387,,raumah,1552,16,1437,
388,,penultimoError,1562,16,1418,
389,,Erik_AR,1200,16,1401,
390,,Courbett,1262,16,1392,
391,,NicoMedra,1482,16,1377,
392,,juligan14247,1495,16,1377,
393,,maqui44,1364,16,1366,
394,,Benito-J551862,1384,16,1331,
395,,nico25mate,1413,16,1329,
396,,vmb1976,1334,16,1310,
397,,Avatar4dobleH,1213,16,1289,
398,,Mateku07,1272,16,1260,
399,,Miguel24032003,1228,16,1237,
400,,Bauty321,1171,16,1231,
401,,LuisPiriz_87,1205,16,1158,
402,,Raul_Pocinho,1250,16,1102,
403,,Cricriminal,2186,15,1973,
404,,Kaspaski,2233,15,1951,
405,,DaviAlmeida,2106,15,1947,
406,,Manuelpz,1603,15,1663,
407,,CubaLibre2021,1985,15,1642,
408,,AspiradoraTurboMix,1444,15,1604,
409,,F20020524,1436,15,1586,
410,,Kevinparra9908kmog,1475,15,1543,
411,,Jalfon,1640,15,1519,
412,,TristanSierra,1642,15,1424,
413,,frankjosecenteno,1384,15,1401,
414,,Gaspo19,1294,15,1379,
415,,Batman2022,1744,15,1354,
416,,facubaucwitz,1496,15,1307,
417,,TheCattle,1284,15,1275,
418,,JuanFe21,1351,15,1260,
419,,Manek93,891,15,1247,
420,,pablal,1071,15,1218,
421,,maisurtia,1107,15,1204,
422,,Aldo-Avitia,1240,15,1200,
423,,Andres128chess,1448,15,1198,
424,,pepegakata,1000,15,1193,
425,,DiegoCompany2408,1224,15,1183,
426,,RubenArias,1154,15,1113,
427,,CalmDust,1662,14,2000,
428,,FabQsene2002,1770,14,1944,
429,,Fano736,1262,14,1613,
430,,jercilla,1577,14,1609,
431,,Ignis1,1559,14,1587,
432,,Antonioputoamo,1558,14,1578,
433,,nicolasmaksimow,1556,14,1544,
434,,TBLebowsky,1370,14,1544,
435,,iserrano0511,1240,14,1498,
436,,EVO_MORALES_AYMA,1511,14,1489,
437,,fredog,1242,14,1486,
438,,NclsMrls,1491,14,1480,
439,,andersong98,1448,14,1479,
440,,DRdiegoA,1253,14,1457,
441,,Ronky987,1398,14,1390,
442,,lolonunes04,1599,14,1380,
443,,TheViper111,1274,14,1342,
444,,Asfort2806,1318,14,1333,
445,,carlos_armijos98,1354,14,1324,
446,,Bautigp,1373,14,1320,
447,,elcampeadorro,1297,14,1315,
448,,Touzen,1238,14,1293,
449,,Markoy,1430,14,1289,
450,,germanccinni,1099,14,1286,
451,,LuisRoX,1368,14,1274,
452,,Dr1deElo,1237,14,1265,
453,,Roostwaldo,1282,14,1260,
454,,JSrg127,1226,14,1204,
455,,Iceman9322,1204,14,1180,
456,,Adrian_fl,1113,14,1174,
457,,PinguElPinguineitor,1128,14,1152,
458,,Chepeluis,1173,14,1151,
459,,Vbatfem,1133,14,1144,
460,,RubenGomez,1029,14,1101,
461,,AritzJau,1102,14,1101,
462,,Chesslondo,1203,14,1059,
463,,FafeeM,903,14,1049,
464,,ElmismisimoTrauco,2011,13,2066,
465,,H2007,2119,13,1915,
466,,francisquitomanuel,2079,13,1914,
467,,Alfasaurio,1250,13,1451,
468,,YTKoucryotan,1048,13,1438,
469,,Jrland,1302,13,1420,
470,,cisco140680,1467,13,1410,
471,,cancona,1238,13,1308,
472,,Alex_Ramentol,1156,13,1204,
473,,Layunplay,1395,13,1203,
474,,davfigue,1205,13,1175,
475,,RUBO10,1030,13,1169,
476,,Moysen,1168,13,1095,
477,,htxr,1118,13,1062,
478,,pixelatedpr0n,2028,12,2293,
479,,MrHumanxz,1465,12,1850,
480,,FranzXM,1734,12,1825,
481,,Kasuma111,1866,12,1807,
482,,PabloKevin,1477,12,1795,
483,,Arghhhhhhhhhh,1813,12,1759,
484,,nicolito34,1581,12,1738,
485,,umy15298,2001,12,1645,
486,,romansegurasenn,1793,12,1642,
487,,jmchessb,1463,12,1627,
488,,hipermio,1471,12,1623,
489,,rfggtav,1406,12,1605,
490,,GomZ,1672,12,1605,
491,,boni-jmt,1903,12,1593,
492,,periajedrez,1133,12,1534,
493,,JhomarL,1363,12,1506,
494,,Tikon123,1431,12,1449,
495,,bambizor,1501,12,1447,
496,,Carlos10942,1461,12,1437,
497,,Humbert_wen,1343,12,1397,
498,,NullPointerExcepti0n,1315,12,1384,
499,,Armangod,1307,12,1359,
500,,sebassllr,1628,12,1342,
501,,juanfelipeacevedo4c,1315,12,1335,
502,,Nikolai1195,1289,12,1327,
503,,Geralt_de_Rivia2304,1328,12,1305,
504,,marco_dk,983,12,1285,
505,,Manugross,1306,12,1281,
506,,jerome_morrow,1542,12,1247,
507,,FedericoMercurio,1118,12,1217,
508,,MarioHep,1120,12,1215,
509,,joaquinmelzner,1224,12,1185,
510,,imperioromano352006,1166,12,1173,
511,,Garxii,978,12,1150,
512,,DarkMaul13,1251,12,1118,
513,,ricsalinas,1135,12,1116,
514,,ELCAMPERO14,1039,12,1109,
515,,Mestizo1991,1278,12,1099,
516,,FrancoyLiz,1063,12,1079,
517,,Camachop,1072,12,1070,
518,,Epsilon281,1079,12,1041,
519,,SheenEstevez,1069,12,1039,
520,,Adolfoml7,1059,12,965,
521,,erikasturias,1317,12,911,
522,,chessss2367lelo,1976,11,1832,
523,,fjfernandezgar,2112,11,1760,
524,,trickster098,1514,11,1537,
525,,kilyae,1387,11,1442,
526,,GORA12,1952,11,1430,
527,,Juuan2,1312,11,1382,
528,,C72494543WILSON,1264,11,1381,
529,,PARZIVAL4,1253,11,1374,
530,,Facundo_de_la_Vega,1331,11,1328,
531,,victty,1293,11,1271,
532,,FawnHercules984,962,11,1268,
533,,Jeronimo1510,1254,11,1227,
534,,J_Angel05,1042,11,1074,
535,,Vasilev_Andrei,2181,10,2211,
536,,AdrianDeLaCruz23,1950,10,2106,
537,,criathian,1740,10,1977,
538,,DavidGames-YT,1642,10,1901,
539,,Tinotin,2088,10,1774,
540,,Sumilda,2232,10,1770,
541,,AxlCrz,1791,10,1765,
542,,uzeag,1532,10,1740,
543,,tutancabron,1770,10,1737,
544,,darioGR,1745,10,1724,
545,,davsaez,1733,10,1621,
546,,VicenteO,1695,10,1608,
547,,Danny_MP,1458,10,1561,
548,,chichi120,1323,10,1503,
549,,escociaescoci,1436,10,1491,
550,,alexia_glz,1291,10,1466,
551,,soymingu,1396,10,1465,
552,,ManelNavarro,1324,10,1455,
553,,HugoAlcocer,1385,10,1397,
554,,LuisAngel07,1142,10,1384,
555,,jaime_ry,1491,10,1384,
556,,xChopy,1200,10,1356,
557,,ChessBelloo,1041,10,1269,
558,,Cristiano747,1336,10,1249,
559,,ignacioq29,1409,10,1241,
560,,ArukuKage,1199,10,1215,
561,,Matias0752,1137,10,1124,
562,,Martintube,1032,10,1084,
563,,MrExon,1297,10,1075,
564,,Raven2cold,1037,10,992,
565,,LorenaGalindo4D,1269,10,966,
566,,Maxivo,2220,9,2086,
567,,Nicalagc,2006,9,1758,
568,,xavilleida15,1878,9,1706,
569,,JAIME735,1683,9,1439,
570,,Major_Smith,1112,9,1431,
571,,Ernesto1016,1422,9,1367,
572,,soler555,1588,9,1353,
573,,hema1806,1047,9,1315,
574,,draps,1194,9,1308,
575,,DanteCdro,932,9,1255,
576,,Wallless,1206,9,1244,
577,,Oliver_sykes,1236,9,1242,
578,,Romeo72,1099,9,1136,
579,,XimenaSH,1018,9,1115,
580,,Dubans,1853,8,2107,
581,,Golukeg,2218,8,2031,
582,,Ricardominguero,1448,8,1921,
583,,Bernardino_Madera,1955,8,1858,
584,,Carlos_Cbtis65,1730,8,1837,
585,,mazzoconi,2059,8,1835,
586,,vizzztor,1445,8,1819,
587,,JezeusRob,1614,8,1814,
588,,PasacheCalderonUPC,1811,8,1805,
589,,RGS_MALAGA,1977,8,1784,
590,,Eze833,1944,8,1750,
591,,Zantyago,1186,8,1739,
592,,danielmdap98,1613,8,1704,
593,,armandoestrada,1516,8,1684,
594,,CamiloPerotta,1542,8,1651,
595,,Yoshizzz,1261,8,1596,
596,,horacio1996,1356,8,1589,
597,,Hizoka512,1838,8,1589,
598,,rumofe85,1239,8,1582,
599,,FranBo,1165,8,1581,
600,,Cappe_73,1610,8,1518,
601,,roool123,1418,8,1462,
602,,ricardo-morales,1493,8,1458,
603,,Knox57,996,8,1437,
604,,YoMeroPalomero,1497,8,1422,
605,,Romansis,1277,8,1395,
606,,dagg21,1247,8,1388,
607,,ErickLaue,1442,8,1386,
608,,B70694716jacob,1224,8,1345,
609,,Knight6891,1293,8,1259,
610,,RubenWing,1160,8,1253,
611,,pablolopezalm,1224,8,1165,
612,,TheRealSlimShrek,1057,8,1129,
613,,anfgomezro,1021,8,1109,
614,,Kitmos,1132,8,1091,
615,,Y0ouko,1043,8,1063,
616,,Jhonatia-Chess,1194,8,1023,
617,,FedeANdradaluisoner,1022,8,1012,
618,,LawlietLNear,921,8,968,
619,,MarielaVilches,913,8,961,
620,,msryes,949,8,956,
621,,Aaron3336,841,8,918,
622,,fritovigo,828,8,855,
623,,TopoNegro,2376,7,2583,
624,,Saijes71,2202,7,2169,
625,,KAOL1998,1810,7,1887,
626,,iabarragan,1386,7,1392,
627,,valentinalonso2007,1422,7,1347,
628,,Anonym9013,1234,7,1318,
629,,JuanMJ,1257,7,1293,
630,,Alejandrito7,1202,7,1291,
631,,Carlos_E,1043,7,1257,
632,,matarreynas,885,7,1169,
633,,perianes945,1160,7,1142,
634,,MariBedoya4D,1146,7,908,
635,,Boqueixon_Gonzalo_R,1482,6,2019,
636,,Gil_Otreb82,1634,6,1963,
637,,sedir0,1837,6,1670,
638,,LuCaS200819,1459,6,1660,
639,,Fexlek,1633,6,1640,
640,,Angel_Toledo,1427,6,1442,
641,,JoaquinCarrasco91,1859,6,1424,
642,,FaBaNi,1532,6,1392,
643,,jeremy2210,997,6,1364,
644,,LeonelRinaldi,1092,6,1271,
645,,Maxe77,1258,6,1255,
646,,ivansteve,1200,6,1248,
647,,Orlins,1479,6,1242,
648,,Soid_mai,1217,6,1239,
649,,Mato_machain,1309,6,1220,
650,,emanuel-argentina,1283,6,1207,
651,,Rodrymoty,1167,6,1198,
652,,OladPark65,1239,6,1181,
653,,fsomaglia,1220,6,1170,
654,,miguelangelpupilo,965,6,1142,
655,,Nahue-mn,1062,6,1141,
656,,Saidpc18,1130,6,1138,
657,,jpenaf01,1227,6,1109,
658,,IsraelUC10,1148,6,1109,
659,,AJ_Faruzi,889,6,1056,
660,,Kaiz3r,990,6,1010,
661,,GenaroCe,932,6,981,
662,,juanchess2341WW2,683,6,971,
663,,afrannicchiarico_5C,1156,6,950,
664,,Heisemberg_Colorao,956,6,912,
665,,santiag0nipio,1134,6,864,
