Rank,Title,Username,Rating,Score,Performance,Team
535,,juansito0senpai,1317,4,1339,
536,,Jair_deleon,1348,4,1317,
537,,Angel_01Vilca-25,1673,4,1252,
538,,joancasais,964,4,1197,
539,,Apadribloan,1260,4,1189,
540,,JosueAz47K,1067,4,1162,
541,,AxielCR,1221,4,1142,
542,,Sallymandro,1120,4,1141,
543,,FenixNegro53,1194,4,1117,
544,,Neru989,1042,4,1069,
545,,fritovigo,783,4,1038,
546,,Jose-Fischer,963,4,1034,
547,,Manugross,1132,4,1028,
548,,juguillos,1249,4,1017,
549,,PEDROJGC10,1090,4,1003,
550,,andresxerez,992,4,974,
551,,Diego-Pinto,722,4,972,
552,,JavierBlanca34,696,4,909,
553,,Xemmaskaidoon,1013,4,899,
554,,Renaproo,966,4,889,
555,,EduardoDylan14,791,4,819,
556,,jesusjavierCUBA,2042,3,2113,
557,,zaid_conforme_sj,1915,3,1868,
558,,kivir-s-h,1830,3,1724,
559,,Juan_Pablo123,1572,3,1655,
560,,Darwin6xd,1549,3,1641,
561,,juandiegovillegas,2070,3,1507,
562,,Carius_1roSec,1738,3,1455,
563,,david864,1574,3,1342,
564,,Alfasaurio,1314,3,1254,
565,,TobiasMigale111,1125,3,1181,
566,,FILETEDEDRAGON,1639,3,1158,
567,,Maelduwe,1152,3,1143,
568,,lupoet1136,951,3,1124,
569,,zrzeus,974,3,1066,
570,,eroncoroni,1064,3,1049,
571,,Abrahamhd,1581,2,2231,
572,,Xx_ricardoxX,1236,2,2215,
573,,JohnEdison04,1787,2,2146,
574,,Davicho_Vi07,1753,2,2134,
575,,Tal_09Max,2148,2,2061,
576,,Sebasgarri,2008,2,2040,
577,,ivanof_456,1569,2,2000,
578,,benitutu,1518,2,1998,
579,,Alberto11mora,1772,2,1985,
580,,lucasdvillegas,1428,2,1914,
581,,c4ndel4,1729,2,1864,
582,,Pedrico,1346,2,1853,
583,,Kevinparra9908kmog,1464,2,1824,
584,,LuisDaniel1991,1470,2,1788,
585,,Christian0312,913,2,1729,
586,,Bax4,1457,2,1705,
587,,KomenKo,1594,2,1700,
588,,ElViejoDeArriba,2254,2,1692,
589,,Fff1fff,1346,2,1608,
590,,Rodrymoty,1269,2,1593,
591,,Manmatao,1358,2,1573,
592,,dede-sla-arg,2300,2,1562,
593,,Cristopher_RL,1479,2,1560,
594,,C73198081ISAIAS,1577,2,1558,
595,,Luis-albertolopez,1719,2,1553,
596,,aemonespinel,1783,2,1519,
597,,AngelJLadino,1675,2,1507,
598,,Edwing16,1610,2,1479,
599,,A73924700ANA,1320,2,1460,
600,,Lucas_Cou03,1297,2,1452,
601,,ikergameplaysyt,1231,2,1432,
602,,pmarsanz,1569,2,1400,
603,,BruceSpringteen,1819,2,1396,
604,,ChristianPaez,1405,2,1360,
605,,Valen_Genia,1818,2,1357,
606,,jarith2210,1386,2,1354,
607,,Mikisit0,1425,2,1343,
608,,Kuira_ba,1321,2,1335,
609,,Omarciano002,1527,2,1335,
610,,MegaYirii,1390,2,1333,
