Rank,Title,Username,Rating,Score,Performance,Team
381,,ReVIT_0-0,1500,0,,
382,,Sofiode,1500,0,,
383,,seb1213,1500,0,,
384,,Emmanuel_Villanueva,1500,0,,
385,,juansito0senpai,1500,0,,
386,,lucas5o40,1500,0,,
387,,Mannaset,1500,0,,
388,,K4sta,1500,0,,
389,,Weko13,1500,0,,
390,,juan8apablo,1500,0,,
391,,juliancarena11,1500,0,,
392,,rubenchu23,1500,0,,
393,,Florentino58,1500,0,,
394,,jporto14,1500,0,,
395,,La_Porta_96,1500,0,,
396,,bringoler,1500,0,,
397,,LoQraMC,1500,0,,
398,,motaterrero,1500,0,,
399,,AgustinVar,1500,0,,
400,,itsMark_14,1500,0,,
401,,aluken,1500,0,,
402,,ramcpc464,1500,0,,
403,,Thirojagoluches,1500,0,,
404,,chess33legal,1500,0,,
405,,JuanDii17,1500,0,,
406,,cristian685723,1500,0,,
407,,vLinken,1500,0,,
408,,LlEvOoChEtOs,1500,0,,
409,,Bogavante,1500,0,,
410,,lilimarquez,1500,0,,
411,,akitafacu,1494,0,,
412,,frikito37,1476,0,,
413,,RicardoRH,1465,0,,
414,,Gero_lievano123,1446,0,,
415,,Danova,1932,0,1440,
416,,SvenXD,1417,0,,
417,,Pabarkkkkkkkkkkk,1407,0,,
418,,avidalsa,1405,0,,
419,,joseantquesada,1393,0,,
420,,alldoce3,1390,0,,
421,,Poyon25,1378,0,,
422,,Ferdex03,1377,0,,
423,,chato2020,1367,0,,
424,,carloscvsa,1346,0,,
425,,Javierazo0o,1330,0,,
426,,juancarloshdez28000,1305,0,,
427,,daaniaguilaar,1296,0,,
428,,lucena,1289,0,,
429,,JAQUElin_MATEo,1439,0,1272,
430,,PARZIVAL4,1254,0,,
431,,Strikehunter,1240,0,,
432,,juliovc,1238,0,,
433,,manumaiden,1235,0,,
434,,ed78,1732,0,1233,
435,,LCDLJ,1230,0,,
436,,R0Dr1_cb,832,0,1218,
437,,JUANMARTINOSO1827,1869,0,1210,
438,,crispo1500,1203,0,,
439,,Mt124634,1178,0,,
440,,draps,1173,0,,
441,,tomascuneo,1172,0,,
442,,ulises_1922,1160,0,,
443,,facuvenezia,1150,0,,
444,,MauricioAngulo,1134,0,,
445,,Kufax0K,1125,0,,
446,,Mariano28,1275,0,1100,
447,,pesFilipes,1739,0,1094,
448,,dav1d17,1091,0,,
449,,Josemiman,1084,0,,
450,,dvr2000,1053,0,,
451,,lolonunes04,1619,0,1000,
452,,Vvito09,1258,0,1000,
453,,elhombrex,999,0,,
454,,Josif_a_La_Firme,999,0,,
455,,Diego22259,989,0,,
456,,diegoh464,986,0,,
457,,rkaiserm,983,0,,
458,,ajedrezchessm,981,0,,
459,,Jajairo21,977,0,,
460,,RiotousPuppy,959,0,,
461,,MigueGarciaK,949,0,,
462,,AdolfoCatral,849,0,948,
463,,Ultrax13,1108,0,935,
464,,Weichafe_5676,904,0,,
465,,aquatj,988,0,897,
466,,Ricki_cg,1071,0,879,
467,,GabrielZarabanda,1421,0,871,
468,,chess101betis,1144,0,862,
469,,reypion,858,0,,
470,,Ezalti,819,0,839,
471,,mer27,1308,0,835,
472,,fourth_Boy,831,0,,
473,,VaniaMV,829,0,,
474,,Andre_Alburquenque,814,0,,
475,,osvaldo_jose,1356,0,791,
476,,hmsrvet28,780,0,,
477,,RuyFM,1247,0,706,
478,,Matiaslapasta,825,0,644,
479,,urik23,1075,0,642,
480,,LeeChezz29,832,0,438,
481,,maxikp017,890,0,300,
